NIRF_Rank,Institute,Placements_rating,Infrastructure_rating,Faculty_Course_Curriculum_rating,Crowd_Campus_Life_rating,Value_for_Money_rating,Learning_Experience_rating,Total_Reviews,Fees,Salary,Courses
1,IIT Madras - Indian Institute of Technology4.,4.4,4.4,4.5,4.6,4.7,4.6,337.0,₹ 10.00 LakhSalary ,₹ 19.00 Lakh Not RankedIndia Today ,B.Tech
2,IIT Delhi - Indian Institute of Technology4.,4.4,4.4,4.3,4.6,4.6,0.0,614.0,₹ 8.00 LakhSalary ,₹ 20.00 Lakh 1India Today ,B.Tech
3,IIT Bombay - Indian Institute of Technology4.,4.6,4.6,4.5,4.7,4.7,5.0,436.0,₹ 8.00 LakhSalary ,₹ 17.92 Lakh 2India Today ,B.Tech
4,IIT Kanpur - Indian Institute of Technology4.,4.5,4.7,4.5,4.8,4.7,0.0,394.0,₹ 8.00 LakhSalary ,₹ 19.40 Lakh 3India Today ,B.Tech
5,IIT Kharagpur - Indian Institute of Technology4.,4.4,4.4,4.3,4.7,4.5,0.0,593.0,₹ 8.00 LakhSalary ,₹ 19.76 Lakh 4India Today ,B.Tech
6,IIT Roorkee - Indian Institute of Technology4.,4.3,4.5,4.1,4.7,4.5,5.0,594.0,₹ 8.00 LakhSalary ,₹ 17.00 Lakh 5India Today ,B.Tech
7,IIT Guwahati - Indian Institute of Technology4.,4.4,4.6,4.2,4.7,4.6,0.0,341.0,₹ 8.00 LakhSalary ,₹ 34.50 Lakh 6India Today ,B.Tech
8,IIT Hyderabad - Indian Institute of Technology4.,4.3,4.5,4.6,4.3,4.4,5.0,124.0,₹ 8.00 LakhSalary ,₹ 21.00 Lakh Not RankedIndia Today ,B.Tech
9,NIT Trichy - National Institute of Technology4.,4.4,4.3,4.1,4.5,4.5,0.0,366.0,₹ 5.00 LakhSalary ,₹ 15.76 Lakh Not RankedIndia Today ,B.Tech
10,"Indian Institute of Technology, BHU, Varanasi4.",4.5,3.8,4.1,4.4,4.4,0.0,550.0,₹ 8.00 LakhNot RankedIndia Today ,,B.Tech
11,VIT Vellore4.,4.2,4.5,4.0,4.1,4.0,0.0,1949.0,₹ 7.80 LakhNot RankedIndia Today ,,B.Tech
12,Jadavpur University4.,4.4,4.0,4.4,4.6,4.9,0.0,639.0,"₹ 20,840Salary ",₹ 10.50 Lakh Not RankedIndia Today ,B.Tech
13,"SRM Institute of Science and Technology, Kattankulathur4.",4.0,4.4,3.9,4.4,3.8,0.0,2200.0,₹ 11.00 LakhNot RankedIndia Today ,,B.Tech
14,"College of Engineering, Anna University4.",4.0,4.1,4.0,4.4,4.5,0.0,224.0,"₹ 48,000Salary ",₹ 7.50 Lakh Not RankedIndia Today ,B.Tech
15,IIT Dhanbad (ISM) - Indian Institute of Technology (ISM)4.,4.1,4.1,4.0,4.3,4.3,0.0,587.0,₹ 8.00 LakhSalary ,₹ 15.00 Lakh Not RankedIndia Today ,B.Tech
16,IIT Indore - Indian Institute of Technology4.,4.0,4.4,4.0,4.3,4.3,0.0,101.0,₹ 8.00 LakhSalary ,₹ 21.20 Lakh Not RankedIndia Today ,B.Tech
17,NIT Surathkal - National Institute of Technology4.,4.4,4.2,4.2,4.6,4.5,0.0,474.0,₹ 5.00 LakhSalary ,₹ 14.21 Lakh Not RankedIndia Today ,B.Tech
18,IIT Gandhinagar - Indian Institute of Technology4.,4.0,4.7,4.4,4.5,4.4,0.0,68.0,₹ 8.00 LakhSalary ,₹ 16.00 Lakh 10India Today ,B.Tech
19,NIT Rourkela - National Institute of Technology4.,4.2,4.4,4.0,4.6,4.3,0.0,685.0,₹ 5.00 LakhSalary ,₹ 9.00 Lakh Not RankedIndia Today ,B.Tech
20,BITS Pilani - Birla Institute of Technology and Science4.,4.4,4.5,4.2,4.7,4.2,0.0,635.0,₹ 20.76 LakhSalary ,₹ 16.15 Lakh 7India Today ,B.Tech
21,NIT Warangal - National Institute of Technology4.,4.3,4.1,4.0,4.4,4.3,0.0,623.0,₹ 5.00 LakhSalary ,₹ 12.00 Lakh Not RankedIndia Today ,B.Tech
22,IIT Ropar - Indian Institute of Technology4.,4.3,4.4,4.2,4.5,4.5,0.0,80.0,₹ 8.00 LakhNot RankedIndia Today ,,B.Tech
24,Jamia Millia Islamia4.,3.6,4.3,4.2,4.4,4.6,3.7,843.0,"₹ 64,600Salary ",₹ 11.00 Lakh Not RankedIndia Today ,B.Tech
25,NIT Calicut - National Institute of Technology4.,4.1,3.9,4.0,4.4,4.2,0.0,389.0,₹ 5.00 LakhSalary ,₹ 9.00 Lakh Not RankedIndia Today ,B.Tech
26,SOA University - Siksha 'O' Anusandhan4.,3.9,4.3,4.2,4.1,3.9,0.0,1100.0,₹ 11.80 LakhSalary ,₹ 5.70 Lakh Not RankedIndia Today ,B.Tech
27,DTU - Delhi Technological University4.,4.4,4.2,4.0,4.5,4.3,0.0,2613.0,₹ 7.40 Lakh9India Today ,,B.Tech
28,"Indian Institute of Technology , Jodhpur4.",4.1,4.4,4.0,4.3,4.3,0.0,127.0,₹ 8.00 LakhNot RankedIndia Today ,,B.Tech
29,Thapar University4.,4.1,4.5,3.9,4.4,3.7,0.0,940.0,₹ 19.56 LakhSalary ,₹ 11.89 Lakh Not RankedIndia Today ,B.Tech
30,"Amity University, Noida4.",3.6,4.5,4.0,4.4,3.7,5.0,1845.0,₹ 10.80 LakhNot RankedIndia Today ,,B.Tech
31,IIT Mandi - Indian Institute of Technology4.,4.0,4.4,4.2,4.4,4.4,0.0,74.0,₹ 8.08 LakhSalary ,₹ 22.23 Lakh 14India Today ,B.Tech
32,Chandigarh University (CU)4.,4.1,4.4,4.1,4.3,4.1,3.8,4725.0,₹ 11.68 Lakh65India Today ,,B.Tech
34,IIT Patna - Indian Institute of Technology4.,4.2,4.2,4.2,4.2,4.3,2.0,185.0,₹ 8.00 LakhNot RankedIndia Today ,,B.Tech
35,KL (Deemed to be University)4.,4.2,4.4,4.2,4.1,3.9,0.0,372.0,₹ 7.20 LakhNot RankedIndia Today ,,B.Tech
36,Kalasalingam Academy of Research and Education3.,3.8,3.9,4.0,3.9,4.0,0.0,478.0,₹ 7.40 LakhSalary ,₹ 6.75 Lakh Not RankedIndia Today ,B.Tech
38,SASTRA (Deemed to be University)4.,4.3,4.1,4.1,4.2,4.4,4.0,709.0,₹ 1.35 LakhSalary ,₹ 7.60 Lakh Not RankedIndia Today ,B.Tech
39,VNIT Nagpur - Visvesvaraya National Institute of Technology4.,3.8,4.1,4.0,4.4,4.1,0.0,382.0,₹ 5.00 LakhSalary ,₹ 8.27 Lakh 19India Today ,B.Tech
40,NIT Silchar - National Institute of Technology4.,4.1,4.1,3.9,4.4,4.2,0.0,366.0,₹ 5.00 LakhSalary ,₹ 10.00 Lakh 32India Today ,B.Tech
